arrival_cycle,source_index
0,8
0,15
1,4
1,8
1,14
1,15
2,2
2,8
2,9
3,7
3,8
4,8
5,1
5,8
6,8
6,13
7,8
7,11
8,8
8,12
9,8
10,1
10,8
10,10
11,3
11,7
11,8
11,10
12,8
13,5
13,8
14,3
14,5
14,8
14,9
15,8
15,10
17,2
17,4
17,8
17,15
18,8
19,0
19,5
19,8
21,8
22,8
23,8
24,5
24,8
24,9
25,8
26,8
26,9
26,10
27,8
30,6
30,8
31,1
31,8
32,8
33,0
34,15
35,4
35,8
35,9
36,8
36,12
37,8
38,8
39,8
40,8
42,8
43,8
44,4
44,5
44,8
45,8
46,4
46,8
46,9
47,8
47,13
49,0
49,8
50,8
50,10
51,8
51,14
52,12
53,8
54,6
54,8
56,8
57,8
57,15
58,8
59,8
60,8
61,0
61,4
61,8
62,8
63,8
63,14
63,15
64,8
64,11
64,12
65,8
65,10
65,11
66,6
66,8
67,8
68,8
70,11
71,2
71,12
72,8
73,8
74,8
75,8
75,14
76,8
77,8
78,7
78,8
79,8
80,8
80,10
81,8
82,0
82,8
83,1
83,7
83,8
84,8
85,8
85,10
85,15
86,6
86,8
86,10
87,13
88,8
89,8
89,13
90,7
90,8
91,8
92,8
93,8
94,8
94,9
95,8
96,8
97,8
99,8
100,8
100,10
100,12
101,8
101,12
102,8
103,3
103,8
104,0
104,8
106,6
106,8
107,14
108,8
109,8
109,13
109,15
110,6
111,6
111,8
111,11
112,8
113,8
114,8
115,13
116,8
117,8
118,0
118,4
118,8
119,3
119,8
119,14
120,8
121,8
122,8
123,1
123,2
123,8
124,8
125,8
126,3
126,8
127,8
128,8
129,8
130,6
130,8
131,8
132,8
132,14
133,8
133,11
134,8
135,8
136,8
138,8
138,15
139,8
140,0
140,4
140,7
140,8
140,15
141,12
142,8
142,15
144,8
145,12
146,0
146,8
147,8
148,4
148,5
148,7
148,8
148,13
149,2
149,8
150,8
150,13
150,15
151,8
152,8
153,8
153,13
154,8
155,3
155,8
155,12
156,8
157,1
157,8
158,8
159,11
160,4
160,8
161,5
163,2
163,8
163,9
163,12
163,13
164,0
164,2
164,8
165,6
165,8
165,12
167,8
168,8
168,14
169,8
170,8
171,7
171,8
172,8
174,4
174,8
175,7
176,8
176,11
177,8
178,8
179,0
179,8
180,10
180,15
181,8
182,8
182,12
183,5
183,8
184,8
185,8
185,15
186,5
187,3
187,8
189,8
189,10
191,8
192,5
192,8
193,8
194,5
194,8
195,5
196,8
197,8
198,8
198,13
200,8
201,8
202,7
202,8
203,8
203,10
204,8
204,12
205,8
206,8
207,5
208,8
209,1
209,8
209,10
210,8
212,2
212,8
212,15
213,8
214,8
215,4
215,7
215,8
216,8
217,8
218,4
218,8
219,6
219,8
220,8
221,8
222,8
222,15
223,8
223,9
224,1
224,7
224,8
225,8
226,8
227,8
227,15
228,8
228,11
229,8
230,9
231,5
231,8
231,11
232,8
233,8
233,11
234,8
235,10
236,8
236,11
237,7
238,8
239,8
240,11
241,8
242,1
242,8
243,8
243,12
244,3
244,8
245,0
245,1
245,8
246,1
246,8
246,10
246,13
247,2
247,6
247,8
248,0
248,8
249,7
250,7
250,8
251,8
251,9
252,8
252,11
253,8
254,8
255,7
255,8
256,10
257,8
257,14
258,3
258,8
259,8
260,0
260,2
260,4
260,15
261,7
261,8
262,4
262,8
262,11
263,8
263,15
264,8
265,8
266,4
267,0
267,8
268,1
269,8
270,8
272,8
272,12
272,15
273,8
274,8
274,9
274,11
275,8
276,6
276,8
277,0
277,6
278,8
278,13
278,14
279,8
280,8
280,10
281,8
282,3
282,8
282,15
283,8
283,14
285,8
285,15
286,4
286,8
287,8
287,13
288,8
289,0
289,8
290,8
290,14
293,0
293,7
293,8
293,10
294,8
294,11
296,5
296,8
297,5
297,8
298,8
298,13
299,8
300,8
302,3
302,15
303,0
303,3
303,8
304,8
305,8
306,7
306,8
306,10
307,8
308,2
308,6
309,8
309,12
310,1
310,8
311,8
312,8
313,4
313,8
314,8
314,12
315,8
316,8
316,14
318,8
319,8
320,8
320,9
321,2
321,3
321,8
322,8
323,8
324,8
325,8
326,8
327,8
329,6
329,8
330,4
330,8
330,12
331,3
331,8
331,12
332,8
333,0
333,8
334,8
334,12
334,14
335,8
336,11
337,1
337,8
338,3
338,8
338,11
339,3
339,8
339,11
340,8
340,9
340,10
341,8
342,7
342,8
342,13
343,8
344,3
344,8
344,11
344,15
346,8
347,8
348,8
349,8
349,10
350,8
351,8
353,6
353,8
354,3
354,8
354,13
