arrival_cycle,source_index
3,3
5,0
7,1
7,3
8,2
8,3
10,0
14,2
20,1
27,0
30,3
35,2
40,1
42,1
45,2
46,1
46,2
53,1
57,1
57,2
58,0
62,1
68,3
69,0
71,3
76,0
77,1
97,1
98,0
106,0
106,1
121,3
124,1
124,2
132,0
139,3
141,0
142,0
147,2
176,2
177,0
177,1
185,0
186,0
191,0
196,0
202,1
207,1
211,2
217,3
231,3
244,0
245,0
255,1
255,3
258,3
259,2
262,1
262,3
265,3
282,3
284,3
287,2
296,2
303,1
314,2
322,1
328,0
332,1
334,2
342,1
343,3
345,3
346,1
351,0
359,0
362,2
378,0
402,1
403,2
407,2
413,2
416,0
425,3
431,1
439,0
439,3
441,3
445,3
446,3
463,0
472,0
473,0
477,2
479,1
484,2
492,1
492,3
505,2
512,2
521,3
531,1
534,3
540,2
555,3
560,0
561,0
562,2
563,3
567,2
571,3
583,2
584,0
584,2
593,0
593,1
594,2
595,0
596,3
603,0
603,3
615,0
621,2
623,2
628,1
638,3
641,0
645,1
652,3
654,0
655,0
655,2
656,0
656,3
661,3
663,2
675,1
686,2
697,0
702,2
706,3
716,0
722,1
723,3
731,2
733,1
743,3
745,1
749,2
758,1
769,1
777,1
781,1
795,0
810,2
814,1
819,2
829,1
832,2
836,1
838,1
848,3
851,3
860,2
861,0
862,2
873,0
877,3
888,2
891,3
894,0
896,1
898,2
911,3
914,3
922,0
925,1
926,3
934,3
942,1
946,3
950,2
962,3
968,1
975,2
977,2
980,0
980,1
984,1
986,1
987,0
988,3
989,3
992,0
998,2
1002,2
1006,0
1010,3
1022,2
1026,1
1031,1
1033,2
1040,0
1040,3
1041,0
1043,3
1046,2
1049,0
1050,3
1055,3
1065,0
1068,0
1072,1
1091,2
1091,3
1098,0
1098,3
1105,3
1108,0
1109,3
1115,0
1115,1
1122,1
1129,2
1131,3
1135,1
1143,3
1145,0
1151,0
1156,0
1163,1
1172,0
1174,1
1174,2
1178,3
1185,1
1189,1
1195,0
1209,2
1211,3
1212,0
1213,2
1216,2
1226,1
1226,2
1232,3
1233,3
1239,2
1240,1
1240,2
1253,0
1256,2
1259,2
1267,1
1282,0
1284,3
1285,2
1317,3
1321,0
1323,2
1325,2
1327,2
1332,0
1339,1
1339,2
1346,3
1348,1
1353,2
1354,3
1357,2
1358,3
1362,0
1362,1
1370,2
1371,0
1372,2
1377,2
1378,3
1379,3
1398,1
1413,3
1417,2
1419,0
1424,2
1428,1
1430,1
1436,2
1441,0
1453,1
1464,1
1469,2
1476,1
1477,0
1481,0
1483,1
1484,0
1485,1
1486,3
1488,3
1490,1
1492,2
1506,3
1516,0
1525,0
1525,1
1532,0
1536,2
1539,1
1540,0
1543,3
1546,3
1554,3
1555,3
1571,0
1574,3
1577,0
1584,1
1587,0
1599,3
1601,1
1606,1
1608,1
1617,0
1637,1
1648,0
1649,0
1653,1
1655,3
1660,2
1679,2
1691,0
1691,1
1693,1
1695,3
1701,1
1704,2
1705,3
1714,1
1716,0
1724,0
1731,2
1734,0
1735,3
1736,1
1740,2
1748,3
1749,2
1751,0
1751,2
1752,2
1786,0
1793,0
1795,0
1817,3
1820,3
1825,2
1838,2
1839,3
1843,3
1847,2
1848,1
1854,2
1856,3
1860,1
1863,1
1869,0
1872,1
1879,0
1881,1
1881,2
1886,0
1915,3
1924,0
1929,2
1938,2
1945,0
1947,2
1963,0
1964,1
1968,2
1973,1
1973,3
1977,0
1982,0
1984,3
1996,0
2002,1
2007,0
2017,0
2018,0
2020,1
2020,2
2025,2
2027,1
2034,2
2036,3
2043,2
2044,1
2061,2
2070,2
2070,3
2075,0
2078,2
2090,3
2103,2
2107,2
2108,2
2124,1
2131,2
2136,1
2141,1
2142,2
2149,0
2150,1
2154,1
2155,2
2160,0
2164,1
2189,1
2190,1
2190,3
2200,2
2201,2
2205,1
2207,2
2211,1
2212,3
2223,3
2225,2
2232,3
2234,2
2241,1
2256,0
2261,3
2271,0
2290,0
2294,3
2298,3
2300,0
2305,0
2310,3
2313,0
2316,2
2322,1
2322,2
2324,2
2344,3
2353,0
2356,3
2357,1
2358,2
2359,2
2364,3
2369,2
2378,0
2381,0
2384,1
2387,0
2392,3
2394,1
2395,1
2414,1
2421,3
2425,3
2431,1
2433,0
2435,3
2436,0
2439,0
2445,2
2447,2
2449,3
2455,1
2465,3
2469,1
2473,3
2479,3
2481,2
2485,0
2492,1
2493,2
2501,1
2510,0
2513,0
2522,1
2523,0
2528,1
2529,2
2534,2
2538,2
2540,1
2542,3
2543,0
2544,1
2544,2
2558,1
2584,1
2589,0
2599,2
2599,3
2608,3
2609,2
2609,3
2610,2
2618,0
2619,0
2623,3
2624,1
2628,2
2629,2
2631,2
2631,3
2632,2
2634,1
2638,1
2648,2
2659,1
2660,3
2663,0
2664,2
2669,3
2677,1
2677,2
2692,2
2703,0
2704,1
2706,1
2722,1
2723,3
2724,2
2728,2
2736,3
2746,2
2747,0
2751,2
2758,3
2760,1
2765,3
2769,3
2770,2
2771,1
2774,0
2779,2
2784,1
2785,1
2792,1
2792,3
2795,3
2803,1
2804,2
2808,1
2820,1
2827,0
2834,2
2839,1
2843,3
2847,2
2847,3
2849,0
2851,0
2869,3
2878,1
2880,2
2881,3
2890,3
2896,2
2898,0
2900,3
2905,3
2906,0
2906,3
2908,1
2912,3
2913,1
2914,0
2914,3
2916,2
2926,2
2933,3
2943,2
2944,0
2944,1
2957,1
2963,0
2966,1
2975,1
2987,0
2987,1
2988,2
2993,1
2997,3
