arrival_cycle,source_index
0,0
0,15
1,5
1,14
1,15
2,0
2,3
2,9
3,0
3,8
4,0
5,2
6,13
7,0
7,11
8,0
8,12
9,0
10,2
10,10
11,0
11,4
11,8
11,10
12,0
13,6
14,4
14,6
14,9
15,10
17,3
17,5
17,15
19,1
19,6
21,0
24,0
24,6
24,9
26,0
26,9
26,10
30,7
31,0
31,2
32,0
33,1
34,15
35,5
35,9
36,0
36,12
39,0
42,0
44,0
44,5
44,6
45,0
46,5
46,9
47,0
47,13
49,1
50,0
50,10
51,14
52,12
54,7
57,15
59,0
60,0
61,1
61,5
63,14
63,15
64,11
64,12
65,10
65,11
66,0
66,7
70,11
71,3
71,12
72,0
74,0
75,0
75,14
76,0
78,8
79,0
80,10
81,0
82,0
82,1
83,2
83,8
85,0
85,10
85,15
86,7
86,10
87,13
89,0
89,13
90,0
90,8
93,0
94,9
95,0
96,0
97,0
100,0
100,10
100,12
101,0
101,12
102,0
103,0
103,4
104,0
104,1
106,0
106,7
107,14
108,0
109,0
109,13
109,15
110,7
111,7
111,11
115,13
118,0
118,1
118,5
119,0
119,4
119,14
120,0
121,0
122,0
123,0
123,2
123,3
125,0
126,4
128,0
129,0
130,0
130,7
131,0
132,14
133,0
133,11
135,0
138,15
140,1
140,5
140,8
140,15
141,12
142,0
142,15
144,0
145,12
146,0
146,1
147,0
148,5
148,6
148,8
148,13
149,0
149,3
150,0
150,13
150,15
151,0
153,0
153,13
154,0
155,0
155,4
155,12
157,2
158,0
159,11
160,5
161,6
163,0
163,3
163,9
163,12
163,13
164,1
164,3
165,0
165,7
165,12
167,0
168,0
168,14
169,0
171,8
174,0
174,5
175,8
176,11
179,0
179,1
180,10
180,15
181,0
182,12
183,6
184,0
185,15
186,6
187,4
189,0
189,10
192,6
194,6
195,6
198,0
198,13
202,1
202,8
203,1
203,10
204,12
205,1
206,1
207,6
208,1
209,2
209,10
212,1
212,3
212,15
213,1
215,1
215,5
215,8
218,1
218,5
219,7
222,1
222,15
223,9
224,2
224,8
226,1
227,15
228,11
230,9
231,1
231,6
231,11
232,1
233,11
234,1
235,10
236,11
237,8
238,1
239,1
240,11
241,1
242,1
242,2
243,12
244,4
245,0
245,1
245,2
246,1
246,2
246,10
246,13
247,3
247,7
248,0
249,8
250,1
250,8
251,9
252,11
255,8
256,10
257,14
258,1
258,4
259,1
260,0
260,3
260,5
260,15
261,8
262,1
262,5
262,11
263,15
264,1
265,1
266,5
267,0
268,2
272,1
272,12
272,15
274,9
274,11
276,1
276,7
277,0
277,7
278,1
278,13
278,14
280,1
280,10
281,1
282,1
282,4
282,15
283,1
283,14
285,15
286,5
287,13
289,0
290,1
290,14
293,0
293,1
293,8
293,10
294,1
294,11
296,6
297,6
298,13
299,1
302,4
302,15
303,0
303,4
304,1
306,1
306,8
306,10
307,1
308,3
308,7
309,1
309,12
310,1
310,2
311,1
312,1
313,1
313,5
314,1
314,12
316,1
316,14
318,1
320,9
321,1
321,3
321,4
322,1
323,1
324,1
329,1
329,7
330,5
330,12
331,4
331,12
332,1
333,0
333,1
334,12
334,14
336,11
337,2
338,4
338,11
339,1
339,4
339,11
340,9
340,10
341,1
342,1
342,8
342,13
343,1
344,1
344,4
344,11
344,15
346,1
348,1
349,10
350,1
351,1
353,7
354,4
354,13
355,1
356,1
357,2
357,10
358,1
359,1
360,5
363,6
365,1
366,1
366,2
367,1
367,4
369,2
369,5
370,5
370,14
371,0
371,1
371,6
371,11
372,1
372,3
372,10
373,1
376,11
379,0
381,5
381,6
383,0
383,1
384,1
384,14
385,0
385,15
386,11
388,1
388,11
388,15
389,1
392,1
392,13
393,1
393,11
394,1
394,5
396,2
396,13
397,1
399,15
400,2
400,6
401,10
402,1
403,2
404,5
407,2
408,2
409,6
410,2
412,0
412,2
412,5
413,6
413,15
414,2
415,2
417,2
419,2
419,12
420,2
422,2
422,13
422,14
423,6
423,15
424,2
425,6
426,2
426,7
427,2
428,10
429,0
429,2
430,2
431,0
431,2
432,2
