arrival_cycle,source_index
3,3
5,1
7,0
7,2
7,3
8,0
8,3
10,1
14,0
15,0
20,2
27,1
30,3
35,0
40,2
42,2
45,0
46,0
46,2
48,0
53,2
57,0
57,2
58,1
62,2
68,3
69,1
71,3
76,1
77,2
90,0
91,0
96,0
97,0
97,2
98,1
99,0
105,0
106,0
106,1
106,2
109,0
110,0
115,0
121,0
121,3
124,0
124,2
132,1
139,3
141,1
142,1
147,0
154,0
167,0
176,0
177,1
177,2
185,0
185,1
186,1
191,1
196,1
202,2
207,2
211,1
217,1
217,3
225,1
231,3
234,1
240,1
243,1
244,0
245,0
255,1
255,2
255,3
258,3
259,1
262,2
262,3
264,1
265,3
282,1
282,3
284,3
287,1
296,1
303,2
314,1
321,1
322,2
328,0
330,1
332,2
334,1
342,2
343,3
345,3
346,1
346,2
351,0
359,0
362,1
363,1
365,1
372,1
378,0
378,1
380,1
393,1
398,1
399,1
400,2
402,1
403,2
404,2
407,2
411,2
413,2
416,0
417,2
419,2
424,2
425,3
429,2
431,1
439,0
439,3
441,3
445,2
445,3
446,3
447,2
453,2
463,0
472,0
473,0
473,2
477,2
479,1
482,2
484,2
492,1
492,3
505,2
511,2
512,2
521,3
526,2
531,1
534,3
540,2
543,2
549,2
551,2
555,2
555,3
560,0
561,0
561,2
562,2
563,3
567,2
571,3
575,2
583,2
584,0
584,2
591,2
593,0
593,1
594,2
595,0
595,2
596,2
596,3
600,3
603,0
603,2
604,3
615,0
616,3
620,3
621,3
623,3
625,3
628,1
638,2
641,0
645,1
647,3
650,3
652,2
652,3
654,0
655,0
655,3
656,0
656,2
661,2
663,3
666,3
672,3
673,3
675,1
686,3
695,3
696,3
697,0
702,3
706,2
714,3
716,0
718,3
722,1
723,2
724,3
730,3
731,3
733,1
735,3
743,2
745,1
749,3
758,1
769,1
774,3
777,1
781,1
782,3
785,3
787,3
795,0
808,0
810,0
814,2
819,0
829,2
832,0
836,2
838,2
842,0
848,3
851,0
851,3
852,0
860,0
861,1
862,0
869,0
871,0
872,0
873,0
873,1
877,0
877,3
888,0
889,0
891,3
894,1
896,2
898,0
899,0
904,0
911,3
914,3
921,0
922,1
925,2
926,3
928,0
930,0
934,3
942,2
945,0
946,3
950,0
952,0
954,0
956,0
962,3
965,0
967,0
968,2
973,0
975,0
977,0
980,0
980,1
980,2
982,0
984,0
984,2
986,2
987,1
988,3
989,3
992,1
998,0
1000,1
1002,1
1006,0
1010,3
1014,1
1015,1
1022,1
1023,1
1026,2
1031,2
1033,1
1040,0
1040,3
1041,0
1043,3
1046,1
1048,1
1049,0
1050,3
1055,3
1056,1
1065,0
1068,0
1069,1
1071,1
1072,2
1091,1
1091,3
1098,0
1098,1
1098,3
1104,1
1105,3
1107,1
1108,0
1109,3
1112,1
1115,0
1115,2
1118,1
1122,2
1129,1
1131,3
1134,1
1135,1
1135,2
1138,1
1143,3
1145,0
1145,1
1151,0
1156,0
1160,1
1163,2
1172,0
1174,1
1174,2
1178,3
1185,2
1189,2
1195,0
1205,2
1206,2
1207,2
1209,2
1211,3
1212,0
1213,2
1216,2
1224,2
1226,1
1226,2
1230,2
1232,3
1233,3
1239,2
1240,1
1240,2
1253,0
1256,2
1259,2
1267,1
1279,2
1282,0
1284,3
1285,2
1286,2
1316,2
1317,3
1321,0
1323,2
1325,2
1327,2
1330,2
1332,0
1339,1
1339,2
1343,2
1346,2
1346,3
1348,1
1353,2
1354,3
1356,2
1357,2
1358,3
1362,0
1362,1
1370,2
1371,0
1372,2
1377,2
1378,2
1378,3
1379,2
1379,3
1384,2
1392,2
1398,1
1403,3
1404,3
1411,3
1413,2
1417,3
1418,3
1419,0
1419,3
1424,3
1428,1
1429,3
1430,1
1436,3
1441,0
1443,3
1449,3
1450,3
1453,1
1460,3
1464,1
1466,3
1469,3
1475,3
1476,1
1477,0
1481,0
1483,1
1484,0
1485,1
1486,2
1488,2
1490,1
1492,3
1494,3
1498,3
1506,2
1516,0
1519,3
1525,0
1525,1
1525,3
1526,3
1532,0
1532,3
1536,3
1539,1
1540,0
1541,3
1543,2
1543,3
1546,2
1549,3
1554,2
1555,2
1562,3
1563,3
1571,0
1571,3
1574,2
1577,0
1577,3
1584,1
1587,0
1590,3
1595,3
1599,2
1601,2
1606,2
1608,2
1617,1
1630,0
1634,0
1637,2
1640,0
1643,0
1648,1
1649,1
1653,2
1655,3
1659,0
1660,0
1669,0
1679,0
1680,0
1688,0
1690,0
1691,1
1691,2
1693,2
1695,3
1701,2
