arrival_cycle,source_index
0,0
1,0
2,0
3,0
3,3
4,0
5,1
6,0
7,0
7,2
7,3
8,0
8,3
9,0
10,1
12,0
13,0
14,0
15,0
16,0
18,0
19,0
20,0
20,2
21,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
30,3
32,0
33,0
35,0
36,0
37,0
38,0
39,0
40,0
40,2
41,0
42,0
42,2
44,0
45,0
46,0
46,2
48,0
49,0
50,0
51,0
52,0
53,0
53,2
54,0
55,0
56,0
57,0
57,2
58,0
58,1
59,0
60,0
62,0
62,2
65,0
66,0
67,0
68,0
68,3
69,0
69,1
70,0
71,3
72,0
73,0
74,0
76,0
76,1
77,0
77,2
78,0
79,0
81,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
97,2
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
106,1
106,2
108,0
109,0
110,0
113,0
114,0
115,0
117,0
118,0
119,0
120,0
121,0
121,3
122,0
123,0
124,0
124,2
126,0
127,0
128,0
129,0
131,0
132,1
133,0
135,0
138,0
139,0
139,3
140,0
141,0
141,1
142,0
142,1
143,0
144,0
145,0
146,0
147,0
148,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
159,0
160,0
161,0
162,0
163,0
165,0
166,0
167,0
168,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
177,1
177,2
178,0
179,0
180,0
182,0
183,0
184,0
185,0
185,1
186,1
188,0
189,0
191,0
191,1
193,0
196,0
196,1
197,0
198,0
199,0
200,1
201,1
202,1
202,2
203,1
204,1
207,1
207,2
211,1
212,1
213,1
214,1
215,1
216,1
217,1
217,3
218,1
221,1
222,1
224,1
225,1
227,1
228,1
229,1
231,3
232,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
242,1
243,1
244,0
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
255,2
255,3
256,1
257,1
258,3
259,1
260,1
261,1
262,2
262,3
263,1
264,1
265,1
265,3
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
278,1
279,1
281,1
282,1
282,3
283,1
284,3
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
303,2
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
319,1
320,1
321,1
322,1
322,2
323,1
324,1
325,1
326,1
328,0
328,1
330,1
331,1
332,1
332,2
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
342,2
343,3
344,1
345,3
346,1
346,2
347,1
349,1
350,1
351,0
351,1
352,1
353,1
355,1
356,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
370,1
372,1
373,1
374,1
375,1
376,1
378,0
378,1
380,1
381,1
382,1
383,1
384,1
386,1
387,1
388,1
389,1
390,1
393,1
395,1
396,1
397,1
398,1
399,1
400,2
401,2
402,1
402,2
403,2
404,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,0
416,2
417,2
418,2
419,2
421,2
422,2
423,2
424,2
425,2
425,3
426,2
427,2
429,2
430,2
431,1
432,2
433,2
435,2
436,2
437,2
438,2
439,0
439,2
439,3
441,2
441,3
443,2
444,2
445,2
445,3
446,3
447,2
448,2
449,2
450,2
451,2
452,2
453,2
456,2
457,2
459,2
461,2
462,2
463,0
463,2
464,2
466,2
468,2
470,2
471,2
472,0
472,2
473,0
473,2
474,2
476,2
477,2
479,1
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
492,1
492,2
492,3
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
511,2
512,2
513,2
514,2
515,2
516,2
518,2
519,2
520,2
521,2
521,3
522,2
523,2
524,2
525,2
526,2
527,2
528,2
530,2
531,1
531,2
532,2
533,2
534,2
534,3
536,2
537,2
538,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
555,3
