arrival_cycle,source_index
3,3
5,1
7,2
7,3
8,0
8,3
10,1
14,0
20,2
27,1
30,3
35,0
40,2
42,2
45,0
46,0
46,2
53,2
57,0
57,2
58,1
62,2
68,3
69,1
71,3
76,1
77,2
97,2
98,1
106,1
106,2
121,3
124,0
124,2
132,1
139,3
141,1
142,1
147,0
176,0
177,1
177,2
185,1
186,1
191,1
196,1
202,2
207,2
211,1
217,3
231,3
244,0
245,0
255,2
255,3
258,3
259,1
262,2
262,3
265,3
282,3
284,3
287,1
296,1
303,2
314,1
322,2
328,0
332,2
334,1
342,2
343,3
345,3
346,2
351,0
359,0
362,1
378,0
402,1
403,2
407,2
413,2
416,0
425,3
431,1
439,0
439,3
441,3
445,3
446,3
463,0
472,0
473,0
477,2
479,1
484,2
492,1
492,3
505,2
512,2
521,3
531,1
534,3
540,2
555,3
560,0
561,0
562,2
563,3
567,2
571,3
583,2
584,0
584,2
593,0
593,1
594,2
595,0
596,3
603,0
603,2
615,0
621,3
623,3
628,1
638,2
641,0
645,1
652,2
654,0
655,0
655,3
656,0
656,2
661,2
663,3
675,1
686,3
697,0
702,3
706,2
716,0
722,1
723,2
731,3
733,1
743,2
745,1
749,3
758,1
769,1
777,1
781,1
795,0
810,0
814,2
819,0
829,2
832,0
836,2
838,2
848,3
851,3
860,0
861,1
862,0
873,1
877,3
888,0
891,3
894,1
896,2
898,0
911,3
914,3
922,1
925,2
926,3
934,3
942,2
946,3
950,0
962,3
968,2
975,0
977,0
980,1
980,2
984,2
986,2
987,1
988,3
989,3
992,1
998,0
1002,1
1006,0
1010,3
1022,1
1026,2
1031,2
1033,1
1040,0
1040,3
1041,0
1043,3
1046,1
1049,0
1050,3
1055,3
1065,0
1068,0
1072,2
1091,1
1091,3
1098,0
1098,3
1105,3
1108,0
1109,3
1115,0
1115,2
1122,2
1129,1
1131,3
1135,2
1143,3
1145,0
1151,0
1156,0
1163,2
1172,0
1174,1
1174,2
1178,3
1185,2
1189,2
1195,0
1209,2
1211,3
1212,0
1213,2
1216,2
1226,1
1226,2
1232,3
1233,3
1239,2
1240,1
1240,2
1253,0
1256,2
1259,2
1267,1
1282,0
1284,3
1285,2
1317,3
1321,0
1323,2
1325,2
1327,2
1332,0
1339,1
1339,2
1346,3
1348,1
1353,2
1354,3
1357,2
1358,3
1362,0
1362,1
1370,2
1371,0
1372,2
1377,2
1378,3
1379,3
1398,1
1413,2
1417,3
1419,0
1424,3
1428,1
1430,1
1436,3
1441,0
1453,1
1464,1
1469,3
1476,1
1477,0
1481,0
1483,1
1484,0
1485,1
1486,2
1488,2
1490,1
1492,3
1506,2
1516,0
1525,0
1525,1
1532,0
1536,3
1539,1
1540,0
1543,2
1546,2
1554,2
1555,2
1571,0
1574,2
1577,0
1584,1
1587,0
1599,2
1601,2
1606,2
1608,2
1617,1
1637,2
1648,1
1649,1
1653,2
1655,3
1660,0
1679,0
1691,1
1691,2
1693,2
1695,3
1701,2
1704,0
1705,3
1714,2
1716,1
1724,1
1731,0
1734,1
1735,3
1736,2
1740,0
1748,3
1749,0
1751,0
1751,1
1752,0
1786,1
1793,1
1795,1
1817,3
1820,3
1825,1
1838,1
1839,3
1843,3
1847,1
1848,2
1854,1
1856,3
1860,2
1863,2
1869,0
1872,2
1879,0
1881,1
1881,2
1886,0
1915,3
1924,0
1929,1
1938,1
1945,0
1947,1
1963,0
1964,2
1968,1
1973,2
1973,3
1977,0
1982,0
1984,3
1996,0
2002,1
2007,0
2017,0
2018,0
2020,1
2020,2
2025,2
2027,1
2034,2
2036,3
2043,2
2044,1
2061,2
2070,2
2070,3
2075,0
2078,2
2090,3
2103,2
2107,2
2108,2
2124,1
2131,2
2136,1
2141,1
2142,2
2149,0
2150,1
2154,1
2155,2
2160,0
2164,1
2189,1
2190,1
2190,3
2200,3
2201,3
2205,1
2207,3
2211,1
2212,2
2223,2
2225,3
2232,2
2234,3
2241,1
2256,0
2261,2
2271,0
2290,0
2294,2
2298,2
2300,0
2305,0
2310,2
2313,0
2316,3
2322,1
2322,3
2324,3
2344,2
2353,0
2356,2
2357,1
2358,3
2359,3
2364,2
2369,3
2378,0
2381,0
2384,1
2387,0
2392,2
2394,1
2395,1
2414,2
2421,3
2425,3
2431,2
2433,1
2435,3
2436,1
2439,1
2445,0
2447,0
2449,3
2455,2
2465,3
2469,2
2473,3
2479,3
2481,0
2485,1
2492,2
2493,0
2501,2
2510,1
2513,1
2522,2
2523,1
2528,2
2529,0
2534,0
2538,0
2540,2
2542,3
2543,1
2544,0
2544,2
2558,2
2584,2
2589,1
2599,0
2599,3
2608,3
2609,1
2609,3
2610,1
2618,0
2619,0
2623,3
2624,2
2628,1
2629,1
2631,1
2631,3
2632,1
2634,2
2638,2
2648,1
2659,2
2660,3
2663,0
2664,1
2669,3
2677,1
2677,2
2692,1
2703,0
2704,2
2706,2
2722,2
2723,3
2724,1
2728,1
2736,3
2746,1
2747,0
2751,1
2758,3
2760,2
2765,3
2769,3
2770,1
2771,2
2774,0
2779,1
2784,2
2785,2
2792,2
2792,3
2795,3
2803,1
2804,2
2808,1
2820,1
2827,0
2834,2
2839,1
2843,3
2847,2
2847,3
2849,0
2851,0
2869,3
2878,1
2880,2
2881,3
2890,3
2896,2
2898,0
2900,3
2905,3
2906,0
2906,3
2908,1
2912,3
2913,1
2914,0
2914,3
2916,2
2926,2
2933,3
2943,2
2944,0
2944,1
2957,1
2963,0
2966,1
2975,1
2987,0
2987,1
2988,2
2993,1
2997,3
