arrival_cycle,source_index
0,0
0,1
0,2
0,3
20,0
20,1
20,2
20,3
40,0
40,1
40,2
40,3
60,0
60,1
60,2
60,3
80,0
80,1
80,2
80,3
100,0
100,1
100,2
100,3
120,0
120,1
120,2
120,3
140,0
140,1
140,2
140,3
160,0
160,1
160,2
160,3
180,0
180,1
180,2
180,3
200,0
200,1
200,2
200,3
220,0
220,1
220,2
220,3
240,0
240,1
240,2
240,3
260,0
260,1
260,2
260,3
280,0
280,1
280,2
280,3
300,0
300,1
300,2
300,3
320,0
320,1
320,2
320,3
340,0
340,1
340,2
340,3
360,0
360,1
360,2
360,3
380,0
380,1
380,2
380,3
400,0
400,1
400,2
400,3
420,0
420,1
420,2
420,3
440,0
440,1
440,2
440,3
460,0
460,1
460,2
460,3
480,0
480,1
480,2
480,3
500,0
500,1
500,2
500,3
520,0
520,1
520,2
520,3
540,0
540,1
540,2
540,3
560,0
560,1
560,2
560,3
580,0
580,1
580,2
580,3
600,0
600,1
600,2
600,3
620,0
620,1
620,2
620,3
640,0
640,1
640,2
640,3
660,0
660,1
660,2
660,3
680,0
680,1
680,2
680,3
700,0
700,1
700,2
700,3
720,0
720,1
720,2
720,3
740,0
740,1
740,2
740,3
760,0
760,1
760,2
760,3
780,0
780,1
780,2
780,3
800,0
800,1
800,2
800,3
820,0
820,1
820,2
820,3
840,0
840,1
840,2
840,3
860,0
860,1
860,2
860,3
880,0
880,1
880,2
880,3
900,0
900,1
900,2
900,3
920,0
920,1
920,2
920,3
940,0
940,1
940,2
940,3
960,0
960,1
960,2
960,3
980,0
980,1
980,2
980,3
1000,0
1000,1
1000,2
1000,3
1020,0
1020,1
1020,2
1020,3
1040,0
1040,1
1040,2
1040,3
1060,0
1060,1
1060,2
1060,3
1080,0
1080,1
1080,2
1080,3
1100,0
1100,1
1100,2
1100,3
1120,0
1120,1
1120,2
1120,3
1140,0
1140,1
1140,2
1140,3
1160,0
1160,1
1160,2
1160,3
1180,0
1180,1
1180,2
1180,3
1200,0
1200,1
1200,2
1200,3
1220,0
1220,1
1220,2
1220,3
1240,0
1240,1
1240,2
1240,3
1260,0
1260,1
1260,2
1260,3
1280,0
1280,1
1280,2
1280,3
1300,0
1300,1
1300,2
1300,3
1320,0
1320,1
1320,2
1320,3
1340,0
1340,1
1340,2
1340,3
1360,0
1360,1
1360,2
1360,3
1380,0
1380,1
1380,2
1380,3
1400,0
1400,1
1400,2
1400,3
1420,0
1420,1
1420,2
1420,3
1440,0
1440,1
1440,2
1440,3
1460,0
1460,1
1460,2
1460,3
1480,0
1480,1
1480,2
1480,3
1500,0
1500,1
1500,2
1500,3
1520,0
1520,1
1520,2
1520,3
1540,0
1540,1
1540,2
1540,3
1560,0
1560,1
1560,2
1560,3
1580,0
1580,1
1580,2
1580,3
1600,0
1600,1
1600,2
1600,3
1620,0
1620,1
1620,2
1620,3
1640,0
1640,1
1640,2
1640,3
1660,0
1660,1
1660,2
1660,3
1680,0
1680,1
1680,2
1680,3
1700,0
1700,1
1700,2
1700,3
1720,0
1720,1
1720,2
1720,3
1740,0
1740,1
1740,2
1740,3
1760,0
1760,1
1760,2
1760,3
1780,0
1780,1
1780,2
1780,3
1800,0
1800,1
1800,2
1800,3
1820,0
1820,1
1820,2
1820,3
1840,0
1840,1
1840,2
1840,3
1860,0
1860,1
1860,2
1860,3
1880,0
1880,1
1880,2
1880,3
1900,0
1900,1
1900,2
1900,3
1920,0
1920,1
1920,2
1920,3
1940,0
1940,1
1940,2
1940,3
1960,0
1960,1
1960,2
1960,3
1980,0
1980,1
1980,2
1980,3
2000,0
2000,1
2000,2
2000,3
2020,0
2020,1
2020,2
2020,3
2040,0
2040,1
2040,2
2040,3
2060,0
2060,1
2060,2
2060,3
2080,0
2080,1
2080,2
2080,3
2100,0
2100,1
2100,2
2100,3
2120,0
2120,1
2120,2
2120,3
2140,0
2140,1
2140,2
2140,3
2160,0
2160,1
2160,2
2160,3
2180,0
2180,1
2180,2
2180,3
2200,0
2200,1
2200,2
2200,3
2220,0
2220,1
2220,2
2220,3
2240,0
2240,1
2240,2
2240,3
2260,0
2260,1
2260,2
2260,3
2280,0
2280,1
2280,2
2280,3
2300,0
2300,1
2300,2
2300,3
2320,0
2320,1
2320,2
2320,3
2340,0
2340,1
2340,2
2340,3
2360,0
2360,1
2360,2
2360,3
2380,0
