arrival_cycle,source_index
0,0
0,3
0,4
0,5
0,12
0,13
0,15
1,5
1,8
1,10
1,12
1,14
1,15
2,0
2,3
2,6
2,9
2,11
3,0
3,2
3,4
3,7
3,8
3,12
3,13
4,0
4,1
4,10
4,11
4,12
5,2
5,4
5,9
6,1
6,5
6,7
6,13
6,15
7,0
7,7
7,8
7,10
7,11
7,13
8,0
8,7
8,12
9,0
9,4
9,6
9,11
10,2
10,10
10,11
10,13
11,0
11,1
11,3
11,4
11,6
11,7
11,8
11,10
11,13
11,14
11,15
12,0
12,2
12,4
12,5
12,6
12,7
12,8
12,10
12,12
12,15
13,5
13,6
13,7
13,11
13,12
13,13
13,14
14,1
14,4
14,5
14,6
14,8
14,9
14,11
15,2
15,7
15,10
16,2
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,14
17,1
17,2
17,3
17,5
17,7
17,10
17,15
18,1
18,3
18,4
18,9
18,11
18,14
19,1
19,5
19,6
19,7
19,8
19,11
19,14
19,15
20,1
20,10
20,11
20,13
20,14
20,15
21,0
21,1
21,3
21,4
21,9
21,13
21,14
21,15
22,4
22,8
22,10
22,12
22,14
22,15
23,1
23,5
23,8
23,10
23,11
23,13
24,0
24,2
24,3
24,4
24,5
24,6
24,9
24,10
24,12
24,13
24,14
24,15
25,2
25,3
25,5
25,7
25,8
25,10
25,14
26,0
26,4
26,5
26,8
26,9
26,10
26,11
27,3
27,4
27,8
27,9
27,10
28,2
28,3
28,5
28,6
28,7
28,8
28,10
28,11
28,12
28,15
29,4
29,6
29,7
29,9
29,12
29,13
29,15
30,4
30,5
30,6
30,7
30,8
30,10
30,11
30,13
30,15
31,0
31,2
31,3
31,8
31,9
31,13
32,0
32,1
32,3
32,4
32,6
32,7
32,11
32,12
32,13
32,14
33,1
33,9
33,10
33,11
33,14
33,15
34,2
34,3
34,5
34,10
34,15
35,2
35,3
35,5
35,9
35,10
35,14
36,0
36,1
36,2
36,3
36,7
36,9
36,10
36,12
36,13
37,6
37,7
37,12
38,4
38,6
38,7
38,8
38,13
39,0
39,1
39,2
39,4
39,7
39,13
39,14
40,3
40,4
40,5
40,7
40,11
41,4
41,7
41,9
41,10
41,12
41,13
41,15
42,0
42,6
42,8
42,12
42,15
43,2
43,3
43,8
43,10
43,11
43,12
44,0
44,1
44,5
44,6
44,9
44,10
44,11
44,12
44,13
44,14
45,0
45,1
45,2
45,5
45,8
45,13
45,15
46,2
46,3
46,4
46,5
46,6
46,9
46,11
47,0
47,1
47,5
47,13
47,14
48,3
48,11
48,15
49,1
49,2
49,9
50,0
50,2
50,7
50,10
51,6
51,9
51,12
51,14
52,2
52,6
52,7
52,9
52,12
52,14
53,3
53,4
53,6
53,8
53,11
53,12
53,14
54,2
54,4
54,7
54,8
54,11
54,13
55,1
55,3
55,4
55,6
55,7
55,9
55,10
55,11
56,4
56,5
56,6
56,11
56,15
57,3
57,5
57,9
57,10
57,13
57,15
58,5
58,6
58,7
58,8
58,11
59,0
59,2
59,5
59,6
59,8
59,12
59,15
60,0
60,2
60,5
60,6
60,7
60,8
60,12
60,13
60,14
60,15
61,1
61,3
61,5
61,14
61,15
62,2
62,3
62,4
62,6
62,11
62,12
62,13
62,14
63,3
63,6
63,10
63,11
63,12
63,13
63,14
63,15
64,4
64,5
64,7
64,10
64,11
64,12
64,14
65,1
65,4
65,5
65,6
65,9
65,10
65,11
65,13
65,15
66,0
66,1
66,3
66,5
66,6
66,7
66,10
66,12
66,14
67,4
67,5
67,8
67,9
67,10
67,13
68,5
68,10
68,15
69,1
69,6
69,7
69,8
69,9
69,10
69,11
69,12
69,14
69,15
70,1
70,6
70,8
70,9
70,11
70,14
71,3
71,6
71,7
71,8
71,10
71,11
71,12
71,14
72,0
72,3
72,4
72,6
72,8
72,9
72,11
72,14
73,5
73,6
74,0
74,1
74,3
74,4
74,9
74,12
74,14
74,15
75,0
75,5
75,8
75,14
76,0
76,1
76,7
76,9
76,15
77,1
77,2
77,3
77,7
77,8
78,1
78,7
78,8
78,9
78,10
78,12
78,14
78,15
79,0
79,5
79,6
79,9
79,11
79,12
79,13
79,14
80,3
80,4
80,5
80,7
80,10
80,15
81,0
81,1
81,4
81,10
81,13
81,14
82,0
82,1
82,8
82,15
83,2
83,3
83,4
83,8
83,10
83,11
84,4
84,13
84,15
85,0
85,4
85,7
85,8
85,10
85,15
86,3
86,7
86,8
86,9
86,10
86,12
86,14
87,7
87,10
87,12
87,13
87,14
87,15
88,1
88,3
88,5
88,7
88,11
89,0
89,6
89,7
89,8
89,9
89,10
89,11
89,13
89,14
89,15
90,0
90,3
90,7
90,8
90,9
90,12
90,14
91,2
91,4
91,11
91,12
91,14
91,15
92,2
92,3
92,6
92,8
92,11
93,0
93,3
93,4
93,8
93,9
93,11
93,15
94,3
94,8
94,9
94,15
95,0
95,4
95,6
95,7
95,9
95,10
95,12
95,14
95,15
96,0
96,1
96,6
96,10
96,12
96,13
97,0
97,1
97,3
97,8
97,10
97,13
98,3
98,4
98,9
98,12
99,2
99,3
99,4
99,6
99,7
99,8
99,12
99,14
100,0
100,1
100,3
100,7
100,10
100,12
100,13
100,15
101,0
101,2
101,3
101,7
101,12
101,13
102,0
102,1
102,2
102,4
102,7
102,9
102,10
102,12
102,13
102,15
103,0
103,2
103,4
103,5
103,6
103,12
103,13
104,0
104,1
104,4
104,8
104,10
104,12
105,7
105,8
105,10
105,12
105,13
106,0
106,1
106,2
106,3
106,5
106,7
106,8
106,10
106,12
106,14
107,1
107,4
107,14
108,0
108,3
108,4
108,5
108,7
108,9
108,14
108,15
109,0
109,4
109,6
109,7
109,8
109,13
109,15
110,1
110,5
110,7
110,13
111,3
111,4
111,7
111,11
111,12
111,13
111,15
112,5
112,11
112,13
112,14
113,1
113,2
113,4
113,10
113,14
114,4
114,9
114,13
114,14
115,1
115,3
115,11
115,13
115,15
116,2
116,5
116,6
116,7
116,11
117,6
117,11
117,14
117,15
118,0
118,1
118,4
118,5
118,7
118,8
118,14
118,15
119,0
119,2
119,3
119,4
119,10
119,14
120,0
120,2
120,4
120,7
120,8
120,12
120,13
121,0
121,2
121,4
121,5
121,8
121,15
122,0
122,4
122,7
122,9
122,11
122,14
123,0
123,2
123,3
123,4
123,6
123,9
123,11
124,6
124,11
124,13
124,15
125,0
125,2
125,3
125,7
125,11
125,12
125,13
125,14
126,1
126,4
126,5
126,6
126,7
126,8
126,9
126,10
126,14
127,2
127,4
127,9
127,10
127,12
127,13
127,15
128,0
128,6
128,9
128,13
128,14
129,0
129,1
129,2
129,8
129,9
129,10
129,12
130,0
130,1
130,3
130,4
130,7
130,8
130,11
131,0
131,2
131,3
131,5
131,6
131,8
131,9
131,13
131,15
132,3
132,5
132,9
132,12
132,14
133,0
133,1
133,9
133,10
133,11
133,13
134,2
134,4
134,9
134,11
134,13
134,14
135,0
135,3
135,5
135,10
135,11
135,12
135,15
136,2
136,3
136,6
136,11
136,12
137,2
137,4
137,6
137,8
137,9
137,10
137,12
137,15
138,2
138,7
138,9
138,12
138,15
139,1
139,5
139,9
139,10
140,1
140,4
140,5
140,8
140,9
140,15
141,3
141,6
141,12
141,13
142,0
142,1
142,3
142,5
142,12
142,15
143,1
143,4
143,5
143,9
143,12
143,13
143,15
144,0
144,2
144,3
144,4
144,8
144,9
144,10
144,11
144,12
144,15
145,2
145,3
145,5
145,9
145,11
145,12
146,0
146,1
146,5
146,7
146,15
147,0
147,1
147,2
147,4
147,7
147,9
147,11
147,12
148,3
148,5
148,6
148,8
148,9
148,10
148,12
148,13
148,14
149,0
149,2
149,3
149,5
149,6
149,8
149,9
150,0
150,1
150,3
150,4
150,7
150,13
150,15
151,0
151,11
151,14
153,0
153,1
153,4
153,10
153,11
153,12
153,13
154,0
154,4
154,7
154,13
155,0
155,2
155,4
155,5
155,9
155,10
155,12
155,15
156,1
156,2
156,4
156,6
156,9
156,10
156,13
157,1
157,2
157,6
157,15
158,0
158,5
158,6
158,8
158,10
158,12
158,14
158,15
159,3
159,5
159,7
159,11
159,15
160,2
160,4
160,5
160,14
161,1
161,4
161,6
161,7
161,9
161,12
161,14
162,3
162,6
162,7
162,8
162,13
162,14
162,15
163,0
163,1
163,2
163,3
163,5
163,9
163,10
163,11
163,12
163,13
164,1
164,3
164,5
164,7
164,8
164,9
164,13
164,14
164,15
165,0
165,2
165,3
165,7
165,11
165,12
165,14
166,1
166,3
166,4
166,5
166,6
166,7
166,8
166,9
166,12
166,13
166,15
167,0
167,1
167,3
167,5
167,7
167,9
167,10
167,12
167,13
167,14
167,15
168,0
168,3
168,4
168,6
168,7
168,9
168,12
168,14
169,0
169,2
169,13
169,15
170,2
170,5
170,6
170,7
170,10
170,12
171,8
171,10
171,11
171,12
171,13
171,15
172,3
172,4
172,8
172,9
172,10
172,11
172,13
172,14
173,2
173,3
173,5
173,6
173,8
173,12
173,13
174,0
174,2
174,5
174,6
174,8
175,5
175,6
175,8
175,9
175,12
175,13
175,14
175,15
176,3
176,6
176,7
176,8
176,11
176,12
176,13
176,14
176,15
177,2
177,3
177,4
177,5
177,6
177,7
178,3
178,6
178,8
178,9
178,10
178,11
178,13
178,14
179,0
179,1
179,2
179,5
179,6
179,8
179,10
179,13
179,14
180,2
180,5
180,10
180,11
180,15
181,0
181,5
181,7
181,14
182,2
182,6
182,7
182,8
182,12
182,13
182,15
183,1
183,2
183,3
183,6
183,7
183,8
183,10
183,11
183,12
184,0
184,1
184,9
184,11
184,13
184,15
185,1
185,8
185,11
185,14
185,15
186,2
186,3
186,5
186,6
186,15
187,4
187,11
187,15
188,4
188,9
188,10
188,14
188,15
189,0
189,2
189,6
189,10
189,12
189,14
190,1
190,3
190,6
190,8
190,9
190,10
190,12
190,13
191,1
191,2
191,10
191,11
191,15
192,1
192,2
192,4
192,6
192,8
192,15
193,6
193,7
193,8
193,10
193,11
193,14
194,1
194,6
194,8
194,13
195,1
195,3
195,4
195,6
195,8
195,10
195,12
196,2
196,4
196,7
196,12
196,13
197,5
197,7
197,9
197,11
197,12
197,13
198,0
198,1
198,3
198,5
198,7
198,11
198,13
199,2
199,5
199,11
199,12
199,13
199,15
200,1
200,3
200,5
201,9
201,10
201,11
201,13
201,15
202,0
202,5
202,8
203,0
203,1
203,2
203,9
203,10
204,1
204,2
204,3
204,7
204,9
204,10
204,12
204,14
205,0
205,1
205,4
205,7
205,15
206,0
206,1
206,2
206,3
206,5
206,6
206,7
206,11
206,13
207,5
207,6
207,9
207,10
207,11
208,0
208,2
208,3
208,7
208,8
208,11
208,12
208,15
209,2
209,5
209,7
209,8
209,10
209,13
209,14
209,15
210,1
210,2
210,3
210,5
210,8
211,1
211,2
211,13
211,14
211,15
212,0
212,1
212,2
212,3
212,4
212,11
212,12
212,13
212,15
213,0
213,2
213,4
213,5
213,15
214,2
214,7
214,9
214,10
214,13
214,15
215,0
215,2
215,3
215,4
215,5
215,8
215,10
215,14
216,3
216,4
216,13
217,4
217,5
217,6
217,11
217,12
217,14
217,15
218,0
218,4
218,5
218,8
218,9
218,10
218,13
219,1
219,4
219,7
219,8
219,12
219,13
220,3
220,4
220,6
220,11
220,14
221,14
221,15
222,0
222,1
222,2
222,4
222,6
222,7
222,9
222,10
222,11
222,13
222,15
223,7
223,9
223,11
223,13
223,15
224,1
224,2
224,4
224,8
224,11
224,12
225,6
225,13
225,14
225,15
226,0
226,2
226,3
226,4
226,7
226,9
226,10
226,12
226,13
226,14
226,15
227,5
227,7
227,8
227,10
227,11
227,13
227,14
227,15
228,2
228,6
228,7
228,8
228,11
229,3
229,4
229,5
229,6
229,7
229,9
229,12
229,13
229,14
229,15
230,4
230,9
230,11
230,12
230,15
231,0
231,1
231,6
231,11
231,12
231,13
232,0
232,1
232,5
232,8
232,9
232,10
232,13
232,14
233,11
233,14
234,0
234,1
234,2
234,7
234,8
234,10
234,14
235,1
235,3
235,7
235,10
235,14
236,2
236,4
236,5
236,6
236,7
236,11
236,15
237,6
237,8
237,10
237,13
237,14
238,0
238,2
238,3
238,5
238,8
238,9
238,10
238,11
238,13
238,15
239,0
239,7
239,11
239,14
239,15
240,3
240,4
240,5
240,9
240,11
240,14
241,0
241,1
241,2
241,3
241,4
241,5
241,7
241,8
241,9
241,12
242,0
242,1
242,2
242,4
242,6
242,8
242,10
242,13
243,2
243,3
243,4
243,5
243,6
243,12
243,14
244,2
244,3
244,4
244,5
244,6
244,7
244,10
244,11
244,12
244,14
244,15
245,0
245,1
245,2
245,6
245,7
245,8
245,12
245,13
245,14
246,0
246,1
246,2
246,3
246,5
246,10
246,13
246,15
247,1
247,3
247,4
247,5
247,6
247,7
247,8
247,11
247,14
247,15
248,1
248,3
248,5
248,13
248,14
248,15
249,4
249,6
249,8
249,10
249,12
249,13
250,0
250,6
250,8
250,9
250,15
251,1
251,2
251,3
251,4
251,7
251,9
251,11
251,12
252,1
252,2
252,3
252,4
252,6
252,7
252,10
252,11
252,12
252,13
252,14
253,3
253,4
253,8
253,11
253,12
253,13
254,7
254,9
254,14
255,1
255,2
255,7
255,8
255,12
255,15
256,3
256,7
256,10
256,11
257,1
257,3
257,6
257,10
257,14
258,0
258,1
258,2
258,3
258,4
258,6
258,11
258,12
258,13
258,15
259,0
259,11
259,15
260,1
260,2
260,3
260,4
260,5
260,6
260,7
260,8
260,15
261,2
261,3
261,7
261,8
261,11
261,13
261,14
261,15
262,0
262,2
262,3
262,5
262,10
262,11
262,13
262,14
263,2
263,3
263,11
263,15
264,0
264,5
264,7
264,15
265,0
265,4
265,11
265,12
266,3
266,4
266,5
266,7
266,8
266,11
266,12
266,15
267,1
267,2
267,4
267,5
267,6
267,7
267,9
267,10
267,11
267,12
268,2
268,3
268,4
268,5
268,10
268,14
269,4
269,5
269,6
270,2
270,3
270,4
270,5
270,9
270,14
270,15
271,3
271,5
271,8
271,14
272,0
272,1
272,2
272,4
272,12
272,14
272,15
273,1
273,2
273,3
273,8
273,14
274,1
274,3
274,7
274,8
274,9
274,10
274,11
274,12
274,13
274,14
275,5
275,8
275,11
275,15
276,0
276,4
276,7
276,12
276,13
277,1
277,7
278,0
278,7
278,11
278,13
278,14
279,5
279,8
279,9
279,10
280,0
280,4
280,7
280,10
281,0
281,2
281,8
281,11
282,0
282,4
282,7
282,8
282,10
282,12
282,13
282,14
282,15
283,0
283,2
283,4
283,6
283,7
283,8
283,9
283,10
283,11
283,12
283,14
284,1
284,2
284,3
284,5
284,7
284,8
284,12
284,13
285,1
285,8
285,11
285,14
285,15
286,1
286,2
286,4
286,5
286,7
286,9
286,11
286,15
287,2
287,4
287,5
287,9
287,13
288,1
288,4
288,5
288,6
288,8
288,10
288,13
288,15
289,1
289,2
289,7
289,14
289,15
290,0
290,2
290,6
290,7
290,8
290,10
290,13
290,14
291,2
291,6
291,8
291,9
291,10
291,11
291,14
291,15
292,4
292,5
292,6
292,7
292,13
293,0
293,1
293,2
293,3
293,8
293,10
293,11
293,13
293,14
294,0
294,1
294,9
294,10
294,11
295,5
295,9
295,13
295,15
296,4
296,6
296,7
296,10
296,11
296,14
297,2
297,6
297,7
297,9
297,12
298,1
298,4
298,8
298,10
298,13
298,14
298,15
299,0
299,1
299,4
299,6
299,11
299,12
299,13
299,14
300,1
300,3
300,4
300,5
300,6
300,7
300,9
300,10
301,1
301,3
301,4
301,6
301,8
301,11
301,12
301,14
302,3
302,4
302,6
302,12
302,14
302,15
303,1
303,4
303,5
303,7
303,10
303,12
303,14
303,15
304,0
304,6
304,8
304,10
304,11
305,2
305,6
305,11
305,13
306,0
306,5
306,6
306,8
306,9
306,10
306,11
306,13
306,14
307,0
307,5
307,6
307,7
307,8
307,10
307,11
307,13
307,14
307,15
308,3
308,6
308,7
308,11
308,12
308,13
309,0
309,1
309,2
309,12
309,13
310,0
310,2
310,8
310,9
310,15
311,0
311,1
