arrival_cycle,source_index
0,3
3,1
3,3
5,1
7,0
7,2
7,3
8,0
8,3
10,1
14,0
15,0
20,2
24,1
25,1
27,1
27,3
30,3
35,0
37,2
40,2
42,2
44,1
45,0
45,2
45,3
46,0
46,2
48,0
49,1
53,1
53,2
55,1
57,0
57,2
58,1
62,2
64,2
65,3
66,1
66,2
68,3
69,1
71,3
72,3
74,3
76,1
77,2
80,1
82,3
83,1
83,2
87,1
90,0
90,2
91,0
92,1
93,1
94,2
96,0
96,3
97,0
97,2
98,1
98,2
99,0
99,1
100,3
102,2
105,0
106,0
106,1
106,2
108,3
109,0
110,0
114,2
115,0
115,3
117,3
119,3
121,0
121,3
122,2
123,1
123,3
124,0
124,2
126,1
127,1
129,3
132,1
135,3
137,1
139,3
141,1
142,1
142,2
146,1
147,0
153,3
154,0
159,1
162,3
165,3
166,1
167,0
167,3
169,2
176,0
177,1
177,2
185,0
185,1
186,1
188,1
191,1
194,3
196,1
202,2
205,2
207,2
210,1
211,0
214,3
215,2
216,2
217,0
217,3
219,1
222,2
222,3
225,0
231,3
234,0
240,0
241,2
241,3
243,0
243,2
243,3
244,1
245,1
248,3
254,2
255,0
255,1
255,2
255,3
258,3
259,0
260,1
261,2
262,2
262,3
263,1
264,0
265,1
265,3
270,2
273,1
275,3
277,2
278,1
278,3
279,2
279,3
280,1
281,2
282,0
282,3
284,3
285,3
286,2
287,0
287,2
289,2
290,1
293,1
296,0
298,1
299,2
299,3
303,2
305,3
307,3
308,1
308,3
314,0
315,3
317,1
317,2
318,3
319,2
320,3
321,0
322,2
327,1
328,1
330,0
331,3
332,2
334,0
342,2
343,3
345,3
346,0
346,1
346,2
349,3
351,1
357,2
357,3
359,1
359,2
360,3
362,0
362,1
363,0
364,2
365,0
368,2
369,2
372,0
372,3
378,0
378,1
380,0
381,2
385,2
393,0
398,0
399,0
400,0
402,2
403,0
404,0
407,0
408,1
409,3
410,1
410,2
411,0
412,2
413,0
413,1
415,1
416,1
417,0
419,0
423,1
424,0
425,3
428,1
429,0
431,2
433,1
439,1
439,3
441,1
441,3
444,3
445,0
445,3
446,3
447,0
447,1
451,2
452,2
453,0
455,2
459,2
460,1
463,1
465,2
472,1
473,0
473,1
473,3
476,2
477,0
479,2
482,0
484,0
485,1
487,3
489,3
490,1
490,3
491,2
492,2
492,3
501,3
505,0
506,2
510,2
511,0
511,3
512,0
515,1
520,1
521,3
522,3
524,2
524,3
526,0
526,1
531,2
534,3
538,3
540,0
540,3
542,3
543,0
543,3
548,2
549,0
549,2
551,0
551,3
552,2
555,0
555,3
558,2
560,1
561,0
561,1
562,0
562,1
563,3
564,3
565,2
567,0
569,1
571,3
572,1
575,0
575,1
576,2
578,3
579,3
581,1
583,0
584,0
584,1
585,3
588,2
591,0
593,1
593,2
594,0
595,0
595,1
596,0
596,3
600,0
603,1
603,3
604,0
606,3
615,1
616,0
620,0
620,2
621,0
622,1
623,0
624,1
625,0
626,1
628,2
633,1
634,2
638,3
641,1
643,2
645,2
646,1
647,0
649,3
650,0
652,0
652,1
652,3
653,1
654,1
654,2
654,3
655,0
655,1
656,1
656,3
660,2
661,3
663,0
664,1
666,0
666,1
667,1
668,1
669,1
669,3
671,2
672,0
672,3
673,0
675,2
679,1
681,1
681,3
686,0
690,3
693,2
695,0
696,0
697,1
697,2
702,0
703,1
705,2
706,3
707,1
709,2
714,0
716,1
717,2
718,0
719,2
722,2
723,3
724,0
725,3
728,2
729,2
730,0
731,0
733,2
734,3
735,0
740,1
743,3
744,3
745,1
745,2
749,0
751,3
754,2
756,2
758,2
759,2
769,2
773,3
774,0
774,2
774,3
777,2
781,2
782,0
782,2
784,2
785,0
787,0
792,1
792,3
793,1
795,1
799,1
800,3
808,0
809,1
810,0
814,2
816,3
818,2
819,0
819,2
820,1
829,2
832,0
832,2
835,3
836,2
838,2
839,2
840,2
840,3
841,1
842,0
847,3
848,3
850,3
851,0
851,3
852,0
855,3
857,3
860,0
861,1
862,0
862,2
863,2
864,3
869,0
869,1
870,3
871,0
871,2
872,0
873,0
873,1
874,1
875,1
877,0
877,3
880,3
888,0
888,1
889,0
890,3
891,3
894,1
895,3
896,2
898,0
898,3
899,0
901,2
903,1
904,0
904,2
904,3
907,3
910,3
911,2
911,3
913,2
914,3
917,3
918,1
921,0
922,1
925,2
926,3
928,0
930,0
931,1
934,3
936,1
937,3
940,1
942,2
943,2
945,0
945,3
946,3
950,0
950,2
951,1
952,0
952,2
953,1
954,0
954,1
954,2
954,3
956,0
962,3
965,0
967,0
968,2
969,2
972,2
972,3
973,0
975,0
976,2
977,0
980,0
980,1
980,2
981,2
982,0
983,1
984,0
984,2
986,2
987,1
988,3
989,2
989,3
990,3
992,1
995,2
998,0
998,2
1000,0
1001,2
1002,0
1004,1
1006,1
1008,3
1009,3
1010,3
1011,1
1011,2
1014,0
1015,0
1020,1
1021,3
1022,0
1023,0
1023,3
1025,3
1026,2
1031,2
1033,0
1033,2
1035,3
1038,3
1039,3
1040,1
1040,2
1040,3
1041,1
1043,3
1045,3
1046,0
1048,0
1048,2
1049,1
1050,3
1052,3
1055,3
1056,0
1065,1
1065,3
1068,1
1069,0
1069,3
1070,1
1070,3
1071,0
1072,2
1072,3
1073,1
1075,2
1077,1
1081,1
1082,1
1084,3
1091,0
1091,2
1091,3
1095,2
1096,1
1098,0
1098,1
1098,2
1098,3
1102,3
1104,0
1105,3
1107,0
1108,1
1109,3
1112,0
1113,3
1115,1
1115,2
1118,0
1122,2
1126,3
1129,0
1131,3
1132,2
1134,0
1134,2
1134,3
1135,0
1135,2
1136,1
1136,2
1137,3
1138,0
1142,3
1143,2
1143,3
1144,2
1145,0
1145,1
1145,3
1151,1
1152,1
1153,2
1156,1
1159,2
1160,0
1163,2
1165,2
1166,1
1166,3
1167,3
1172,1
1174,0
1174,2
1176,1
1178,2
1178,3
1183,1
1185,2
1185,3
1186,2
1189,2
1189,3
1192,1
1195,1
1199,1
1204,3
1205,0
1206,0
1207,0
1207,2
1209,0
1211,2
1211,3
1212,1
1213,0
1215,3
1216,0
1217,2
1218,2
1221,2
1224,0
1226,0
1226,2
1227,1
1229,2
1230,0
1231,3
1232,3
1233,3
1234,3
1236,1
1239,0
1240,0
1240,2
1242,1
1244,2
1253,1
1253,2
1256,0
1258,2
1259,0
1264,2
1264,3
1265,1
1266,3
1267,2
1272,1
1272,2
1275,2
1276,2
1279,0
1282,1
1284,3
1285,0
1286,0
1287,2
1289,2
1292,2
1293,2
1296,1
1297,2
1305,1
1305,3
1311,3
1312,1
1314,3
1316,0
1317,3
1319,2
1320,1
1321,1
1323,0
1325,0
1325,3
1327,0
1330,0
1330,3
1332,1
1339,0
1339,2
1340,1
1341,3
1343,0
1346,0
1346,3
1348,2
1348,3
1352,2
1352,3
1353,0
1354,3
1356,0
1357,0
1358,3
1359,1
1362,1
1362,2
1364,2
1369,1
1370,0
1371,1
1372,0
1372,1
1377,0
1378,0
1378,2
1378,3
1379,0
1379,3
1384,0
1384,3
1387,2
1389,1
1390,3
1391,3
1392,0
1395,2
1398,2
1401,2
1402,2
1403,0
1404,0
1406,2
1408,2
1411,0
1412,3
1413,3
1417,0
1418,0
1419,0
1419,1
1421,2
1422,3
1423,1
1424,0
1428,2
1429,0
1429,2
1430,2
1431,1
1435,2
1436,0
1436,1
1441,1
1443,0
1446,1
1449,0
1450,0
1453,2
1460,0
1460,1
1464,2
1466,0
1466,1
1469,0
1472,1
1473,2
1475,0
1475,1
1476,2
1477,1
1480,3
1481,1
1483,2
1484,1
1485,2
1486,3
1487,3
1488,3
1489,1
1490,2
1492,0
1494,0
1495,2
1495,3
1497,1
1498,0
1499,1
1501,1
1502,3
1506,3
1510,1
1516,1
1519,0
1523,2
1524,3
1525,0
1525,1
1525,2
1526,0
1526,1
1527,1
1530,1
1530,3
1532,0
1532,1
1532,3
1534,3
1536,0
1538,1
1538,2
1539,2
1540,1
1541,0
1543,0
1543,3
1546,2
1546,3
1548,3
1549,0
1552,2
1554,2
1554,3
1555,3
1562,0
1562,2
1563,0
1563,2
1567,3
1569,3
1571,0
1571,1
1574,3
1577,0
1577,1
1580,1
1581,1
1581,2
1584,1
1584,2
1587,1
1587,2
1588,2
1590,0
1593,1
1595,0
1597,2
1599,3
1601,2
1603,1
1603,3
1605,1
1606,2
1607,1
1608,2
1609,1
1610,1
1612,1
1613,1
1616,2
1617,1
1617,3
1621,2
1621,3
1630,0
1634,0
1637,2
1638,2
1640,0
1643,0
1645,3
1648,1
1648,3
1649,1
1653,2
1654,3
1655,3
1656,2
1658,3
1659,0
1660,0
1664,3
1667,3
1668,2
1669,0
1671,2
1673,2
1675,1
1676,2
1677,2
1679,0
1680,0
1680,1
1680,2
1683,2
1688,0
1689,3
1690,0
1691,1
1691,2
1692,1
1693,2
1695,2
1695,3
1701,2
1704,0
1705,3
1706,3
1711,1
1714,2
1714,3
1716,0
1716,1
1716,3
1719,1
1721,3
1724,1
1726,1
1729,3
1731,0
1734,1
1735,3
1736,0
1736,2
1738,1
1738,3
1740,0
1741,2
1744,2
1745,0
1746,2
1748,2
1748,3
1749,0
1750,0
1750,3
1751,0
1751,1
1752,0
1754,3
1756,1
1759,0
1759,3
1760,1
1761,2
1766,2
1767,0
1770,2
1774,3
1776,0
1778,1
1778,2
1785,3
1786,1
1789,2
1793,1
1795,1
1797,2
1798,0
1799,0
1799,2
1800,0
1805,2
1807,2
1808,2
1812,1
1814,0
1815,3
1817,3
1820,3
1822,1
1825,0
1829,0
1829,1
1829,2
1832,2
1834,3
1837,3
1838,0
1838,1
1839,1
1839,3
1840,2
1841,1
1841,2
1843,3
1845,2
1847,0
1848,2
1849,1
1850,3
1853,0
1854,0
1855,0
1856,3
1857,1
1858,0
1858,2
1860,2
1862,2
1863,2
1869,0
1869,1
1872,0
1872,1
1872,2
1875,1
1876,0
1879,1
1881,0
1881,2
1885,2
1886,1
1887,0
1887,1
1891,2
1894,1
1900,1
1902,1
1904,1
1904,3
1909,1
1913,0
1913,2
1915,3
1917,2
1924,1
1925,3
1929,0
1930,1
1932,1
1933,2
1934,1
1937,1
1938,0
1938,2
1941,1
1944,2
1945,1
1946,1
1947,0
1951,3
1954,0
1954,3
1956,2
1961,0
1963,1
1964,2
1968,0
1970,0
1970,1
1971,2
1973,1
1973,2
1973,3
1976,0
1977,1
1977,2
1979,3
1982,1
1984,3
1985,2
1985,3
1986,3
1989,3
1992,3
1993,2
1996,0
1996,1
1998,3
2002,2
2005,3
2007,1
2008,3
2010,1
2011,3
2017,1
2018,0
2018,1
2018,2
2020,0
2020,2
2021,0
2021,2
2023,3
2025,0
2026,1
2027,2
2029,3
2030,0
2034,0
2035,1
2036,3
2037,1
2038,2
2038,3
2043,0
2044,2
2046,3
2047,0
2051,2
2052,1
2053,1
2053,3
2059,3
2061,0
2062,2
2064,2
2065,1
2067,2
2068,0
2070,0
2070,3
2071,0
2071,1
2072,2
2074,0
2075,1
2076,1
2076,3
2078,0
2081,3
2083,3
2084,1
2084,3
2090,0
2090,3
2096,2
2097,3
2099,1
2100,0
2102,0
2103,0
2106,3
2107,0
2107,2
2108,0
2114,1
2115,2
2117,2
2119,1
2121,3
2122,2
2123,0
2124,2
2127,1
2129,1
2131,0
2131,1
2132,0
2134,3
2136,2
2138,0
2139,0
2141,2
2142,0
2142,2
2145,3
2146,1
2148,0
2149,1
2150,2
2151,0
2154,2
2155,0
2155,3
2157,2
2157,3
2158,0
2160,1
2163,0
2164,2
2168,0
2168,2
2172,2
2176,0
2178,0
2179,1
2184,0
2185,2
2186,2
2188,2
2189,2
2190,1
2190,2
2190,3
2191,3
2192,2
2194,1
2197,1
2199,0
2199,1
2200,0
2201,0
2204,1
2205,2
2207,0
2208,1
2208,2
2211,2
2212,3
2213,0
2215,1
2220,1
2220,3
2223,3
2225,0
2225,3
2226,2
2229,2
2232,3
2233,0
2234,0
2237,1
2238,2
2239,0
2241,2
2246,3
2249,1
2251,0
2251,1
2251,2
2255,3
2256,1
2258,0
2258,3
2259,0
2260,3
2261,3
2266,2
2269,2
2271,1
2274,0
2277,1
2283,1
2286,3
2287,1
2289,0
2289,2
2290,1
2291,0
2293,0
2294,3
2296,1
2297,3
2298,3
2300,1
2303,1
2305,0
2305,1
2308,2
2310,3
2311,1
2312,1
2313,1
2315,0
2316,0
2316,2
2317,3
2322,0
2322,2
2323,3
2324,0
2328,2
2330,0
2331,1
2331,2
2332,1
2334,1
2335,1
2336,1
2337,1
2344,0
2344,3
2347,2
2348,1
2353,1
2355,2
2355,3
2356,3
2357,2
2358,0
2359,0
2364,3
2366,0
2366,2
2366,3
2367,2
2369,0
2369,1
2372,1
2376,0
2378,1
2380,0
2381,1
2383,3
2384,2
2387,1
2389,3
2391,0
2392,3
2394,0
2394,2
2395,1
2395,2
2396,1
2403,2
2404,0
2404,1
2408,2
2413,2
2414,2
2416,2
2416,3
2419,2
2421,3
2422,0
2423,3
2424,1
2425,1
2425,3
2431,0
2431,2
2433,0
2433,1
2435,2
2435,3
2436,1
2439,1
2439,3
2441,0
2441,2
2445,0
2445,2
2447,0
2449,3
2453,3
2454,1
2454,2
2455,2
2456,3
2459,0
2459,2
2462,1
2462,2
2465,3
2468,0
2469,2
2469,3
2470,3
2472,3
2473,3
2476,2
2477,3
2479,3
2481,0
2484,1
2485,1
2486,2
2488,1
2488,3
2490,2
2491,0
2492,2
2493,0
