arrival_cycle,source_index
0,0
0,1
0,3
0,4
0,5
0,6
0,8
0,9
0,11
0,12
0,13
0,14
0,15
1,0
1,1
1,2
1,5
1,7
1,8
1,10
1,11
1,12
1,13
1,14
1,15
2,0
2,2
2,3
2,4
2,6
2,7
2,9
2,10
2,11
2,13
2,14
2,15
3,0
3,1
3,2
3,4
3,6
3,7
3,8
3,9
3,10
3,12
3,13
4,0
4,1
4,3
4,6
4,7
4,8
4,10
4,11
4,12
4,13
4,14
4,15
5,0
5,1
5,2
5,3
5,4
5,6
5,7
5,9
5,10
5,11
6,0
6,1
6,2
6,4
6,5
6,7
6,8
6,9
6,10
6,11
6,13
6,14
6,15
7,0
7,2
7,3
7,4
7,5
7,7
7,8
7,9
7,10
7,11
7,13
7,14
7,15
8,0
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,9
8,10
8,12
8,13
8,15
9,0
9,1
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
10,0
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,13
10,14
10,15
11,0
11,1
11,2
11,3
11,4
11,6
11,7
11,8
11,9
11,10
11,13
11,14
11,15
12,0
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,12
12,15
13,0
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
14,0
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,11
14,12
14,14
15,0
15,1
15,2
15,5
15,6
15,7
15,8
15,10
15,11
15,13
15,14
16,1
16,2
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,14
16,15
17,0
17,1
17,2
17,3
17,4
17,5
17,6
17,7
17,8
17,9
17,10
17,13
17,14
17,15
18,0
18,1
18,2
18,3
18,4
18,5
18,7
18,8
18,9
18,10
18,11
18,13
18,14
18,15
19,0
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
20,1
20,2
20,3
20,4
20,6
20,7
20,9
20,10
20,11
20,13
20,14
20,15
21,0
21,1
21,2
21,3
21,4
21,6
21,7
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
22,0
22,3
22,4
22,5
22,6
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
23,0
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
24,0
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,9
24,10
24,11
24,12
24,13
24,14
24,15
25,0
25,1
25,2
25,3
25,4
25,5
25,7
25,8
25,10
25,11
25,12
25,13
25,14
25,15
26,0
26,2
26,3
26,4
26,5
26,7
26,8
26,9
26,10
26,11
26,13
26,14
26,15
27,0
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,13
27,15
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,10
28,11
28,12
28,14
28,15
29,1
29,3
29,4
29,5
29,6
29,7
29,8
29,9
29,10
29,11
29,12
29,13
29,14
29,15
30,0
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,9
30,10
30,11
30,12
30,13
30,15
31,0
31,2
31,3
31,5
31,6
31,7
31,8
31,9
31,10
31,12
31,13
31,14
32,0
32,1
32,3
32,4
32,5
32,6
32,7
32,9
32,10
32,11
32,12
32,13
32,14
32,15
33,1
33,3
33,4
33,6
33,9
33,10
33,11
33,12
33,13
33,14
33,15
34,2
34,3
34,5
34,7
34,8
34,9
34,10
34,11
34,12
34,13
34,14
34,15
35,0
35,1
35,2
35,3
35,4
35,5
35,7
35,8
35,9
35,10
35,12
35,13
35,14
35,15
36,0
36,1
36,2
36,3
36,4
36,5
36,6
36,7
36,8
36,9
36,10
36,11
36,12
36,13
36,14
36,15
37,0
37,2
37,6
37,7
37,8
37,9
37,11
37,12
37,14
37,15
38,0
38,1
38,4
38,6
38,7
38,8
38,10
38,12
38,13
38,14
39,0
39,1
39,2
39,4
39,5
39,6
39,7
39,11
39,12
39,13
39,14
39,15
40,0
40,1
40,2
40,3
40,4
40,5
40,6
40,7
40,8
40,11
40,12
40,14
41,1
41,2
41,3
41,4
41,5
41,7
41,8
41,9
41,10
