arrival_cycle,source_index
3,3
5,1
7,2
7,3
8,0
8,3
10,1
14,0
20,2
27,1
30,3
35,0
40,2
42,2
45,0
46,0
46,2
53,2
57,0
57,2
58,1
62,2
68,3
69,1
71,3
76,1
77,2
97,2
98,1
106,1
106,2
121,3
124,0
124,2
132,1
139,3
141,1
142,1
147,0
176,0
177,1
177,2
185,1
186,1
191,1
196,1
202,2
207,2
211,0
217,3
231,3
244,1
245,1
255,2
255,3
258,3
259,0
262,2
262,3
265,3
282,3
284,3
287,0
296,0
303,2
314,0
322,2
328,1
332,2
334,0
342,2
343,3
345,3
346,2
351,1
359,1
362,0
378,1
402,2
403,0
407,0
413,0
416,1
425,3
431,2
439,1
439,3
441,3
445,3
446,3
463,1
472,1
473,1
477,0
479,2
484,0
492,2
492,3
505,0
512,0
521,3
531,2
534,3
540,0
555,3
560,1
561,1
562,0
563,3
567,0
571,3
583,0
584,0
584,1
593,1
593,2
594,0
595,1
596,3
603,1
603,3
615,1
621,0
623,0
628,2
638,3
641,1
645,2
652,3
654,1
655,0
655,1
656,1
656,3
661,3
663,0
675,2
686,0
697,1
702,0
706,3
716,1
722,2
723,3
731,0
733,2
743,3
745,2
749,0
758,2
769,2
777,2
781,2
795,1
810,0
814,2
819,0
829,2
832,0
836,2
838,2
848,3
851,3
860,0
861,1
862,0
873,1
877,3
888,0
891,3
894,1
896,2
898,0
911,3
914,3
922,1
925,2
926,3
934,3
942,2
946,3
950,0
962,3
968,2
975,0
977,0
980,1
980,2
984,2
986,2
987,1
988,3
989,3
992,1
998,0
1002,0
1006,1
1010,3
1022,0
1026,2
1031,2
1033,0
1040,1
1040,3
1041,1
1043,3
1046,0
1049,1
1050,3
1055,3
1065,1
1068,1
1072,2
1091,0
1091,3
1098,1
1098,3
1105,3
1108,1
1109,3
1115,1
1115,2
1122,2
1129,0
1131,3
1135,2
1143,3
1145,1
1151,1
1156,1
1163,2
1172,1
1174,0
1174,2
1178,3
1185,2
1189,2
1195,1
1209,0
1211,3
1212,1
1213,0
1216,0
1226,0
1226,2
1232,3
1233,3
1239,0
1240,0
1240,2
1253,1
1256,0
1259,0
1267,2
1282,1
1284,3
1285,0
1317,3
1321,1
1323,0
1325,0
1327,0
1332,1
1339,0
1339,2
1346,3
1348,2
1353,0
1354,3
1357,0
1358,3
1362,1
1362,2
1370,0
1371,1
1372,0
1377,0
1378,3
1379,3
1398,2
1413,3
1417,0
1419,1
1424,0
1428,2
1430,2
1436,0
1441,1
1453,2
1464,2
1469,0
1476,2
1477,1
1481,1
1483,2
1484,1
1485,2
1486,3
1488,3
1490,2
1492,0
1506,3
1516,1
1525,1
1525,2
1532,1
1536,0
1539,2
1540,1
1543,3
1546,3
1554,3
1555,3
1571,1
1574,3
1577,1
1584,2
1587,1
1599,3
1601,2
1606,2
1608,2
1617,1
1637,2
1648,1
1649,1
1653,2
1655,3
1660,0
1679,0
1691,1
1691,2
1693,2
1695,3
1701,2
1704,0
1705,3
1714,2
1716,1
1724,1
1731,0
1734,1
1735,3
1736,2
1740,0
1748,3
1749,0
1751,0
1751,1
1752,0
1786,1
1793,1
1795,1
1817,3
1820,3
1825,0
1838,0
1839,3
1843,3
1847,0
1848,2
1854,0
1856,3
1860,2
1863,2
1869,1
1872,2
1879,1
1881,0
1881,2
1886,1
1915,3
1924,1
1929,0
1938,0
1945,1
1947,0
1963,1
1964,2
1968,0
1973,2
1973,3
1977,1
1982,1
1984,3
1996,1
2002,2
2007,1
2017,1
2018,1
2020,0
2020,2
2025,0
2027,2
2034,0
2036,3
2043,0
2044,2
2061,0
2070,0
2070,3
2075,1
2078,0
2090,3
2103,0
2107,0
2108,0
2124,2
2131,0
2136,2
2141,2
2142,0
2149,1
2150,2
2154,2
2155,0
2160,1
2164,2
2189,2
2190,2
2190,3
2200,0
2201,0
2205,2
2207,0
2211,2
2212,3
2223,3
2225,0
2232,3
2234,0
2241,2
2256,1
2261,3
2271,1
2290,1
2294,3
2298,3
2300,1
2305,1
2310,3
2313,1
2316,0
2322,0
2322,2
2324,0
2344,3
2353,1
2356,3
2357,2
2358,0
2359,0
2364,3
2369,0
2378,1
2381,1
2384,2
2387,1
2392,3
2394,2
2395,2
2414,2
2421,3
2425,3
2431,2
2433,1
2435,3
2436,1
2439,1
2445,0
2447,0
2449,3
2455,2
2465,3
2469,2
2473,3
2479,3
2481,0
2485,1
2492,2
2493,0
2501,2
2510,1
2513,1
2522,2
2523,1
2528,2
2529,0
2534,0
2538,0
2540,2
2542,3
2543,1
2544,0
2544,2
2558,2
2584,2
2589,1
2599,0
2599,3
2608,3
2609,0
2609,3
2610,0
2618,1
2619,1
2623,3
2624,2
2628,0
2629,0
2631,0
2631,3
2632,0
2634,2
2638,2
2648,0
2659,2
2660,3
2663,1
2664,0
2669,3
2677,0
2677,2
2692,0
2703,1
2704,2
2706,2
2722,2
2723,3
2724,0
2728,0
2736,3
2746,0
2747,1
2751,0
2758,3
2760,2
2765,3
2769,3
2770,0
2771,2
2774,1
2779,0
2784,2
2785,2
2792,2
2792,3
2795,3
2803,2
2804,0
2808,2
2820,2
2827,1
2834,0
2839,2
2843,3
2847,0
2847,3
2849,1
2851,1
2869,3
2878,2
2880,0
2881,3
2890,3
2896,0
2898,1
2900,3
2905,3
2906,1
2906,3
2908,2
2912,3
2913,2
2914,1
2914,3
2916,0
2926,0
2933,3
2943,0
2944,1
2944,2
2957,2
2963,1
2966,2
2975,2
2987,1
2987,2
2988,0
2993,2
2997,3
