event_id	cycle	source	x	y	polarity	occurrence_timestamp_ns
0	3056	21	112	84	0	3056529001
1	3088	7	114	82	0	3088701001
2	3350	21	112	84	0	3350847001
3	3382	34	109	86	0	3382886000
4	4091	21	112	84	0	4091502001
5	4101	37	112	86	0	4101324001
6	4106	45	112	87	0	4106671000
7	4110	50	109	88	0	4110570000
8	4110	55	114	88	0	4110991001
9	4126	1	108	82	0	4126757001
10	4129	2	109	82	0	4129283001
11	4132	2	109	82	0	4132032000
12	4132	3	110	82	0	4132985001
13	4132	9	108	83	0	4132252001
14	4134	10	109	83	0	4134497000
15	4135	2	109	82	0	4135650001
16	4135	4	111	82	0	4135766000
17	4136	3	110	82	0	4136438001
18	4136	17	108	84	0	4136600001
19	4137	1	108	82	1	4137035001
20	4137	11	110	83	0	4137036001
21	4138	4	111	82	0	4138647000
22	4138	5	112	82	0	4138681001
23	4138	10	109	83	0	4138172001
24	4139	11	110	83	0	4139587000
25	4139	18	109	84	0	4139117000
26	4140	12	111	83	0	4140708000
27	4141	3	110	82	0	4141825001
28	4141	5	112	82	0	4141378000
29	4141	6	113	82	0	4141983000
30	4141	9	108	83	1	4141718001
31	4141	19	110	84	0	4141665000
32	4141	25	108	85	0	4141644000
33	4142	2	109	82	1	4142744001
34	4142	4	111	82	0	4142261001
35	4143	11	110	83	0	4143234000
36	4143	12	111	83	0	4143174001
37	4143	13	112	83	1	4143163001
38	4143	18	109	84	0	4143253001
39	4144	5	112	82	0	4144322000
40	4144	6	113	82	0	4144586000
41	4144	7	114	82	0	4144603000
42	4144	17	108	84	1	4144024001
43	4144	19	110	84	0	4144189001
44	4144	20	111	84	0	4144696000
45	4144	26	109	85	0	4144125000
46	4145	13	112	83	0	4145988000
47	4145	33	108	86	0	4145950000
48	4146	4	111	82	0	4146953000
49	4146	7	114	82	0	4146939000
50	4146	14	113	83	0	4146709001
51	4146	27	110	85	0	4146523001
52	4147	10	109	83	1	4147081000
53	4147	12	111	83	0	4147363001
54	4147	19	110	84	0	4147501001
55	4147	20	111	84	0	4147185000
56	4147	34	109	86	0	4147559001
57	4148	3	110	82	1	4148484000
58	4148	5	112	82	0	4148567000
59	4148	6	113	82	0	4148159000
60	4148	21	112	84	0	4148074001
61	4148	26	109	85	0	4148702000
62	4148	27	110	85	0	4148676001
63	4149	13	112	83	0	4149591001
64	4149	14	113	83	0	4149326001
65	4149	15	114	83	0	4149146001
66	4149	28	111	85	0	4149701000
67	4150	2	109	82	1	4150667001
68	4150	7	114	82	0	4150276001
69	4150	21	112	84	0	4150735001
70	4150	22	113	84	0	4150932001
71	4150	25	108	85	1	4150110001
72	4150	34	109	86	0	4150233000
73	4150	35	110	86	0	4150743001
74	4150	41	108	87	0	4150517001
75	4151	5	112	82	0	4151835001
76	4151	15	114	83	0	4151695000
77	4151	18	109	84	1	4151164001
78	4151	20	111	84	0	4151782001
79	4151	27	110	85	0	4151889001
80	4151	29	112	85	0	4151871000
81	4152	3	110	82	1	4152066001
82	4152	28	111	85	0	4152698001
83	4152	42	109	87	0	4152895001
84	4153	6	113	82	0	4153424001
85	4153	14	113	83	0	4153114000
86	4153	21	112	84	0	4153700001
87	4153	22	113	84	0	4153496001
88	4153	23	114	84	0	4153686001
89	4153	35	110	86	0	4153745001
90	4153	36	111	86	0	4153643000
91	4154	7	114	82	0	4154169000
92	4154	11	110	83	1	4154533001
93	4154	12	111	83	0	4154122001
94	4154	13	112	83	0	4154197000
95	4154	29	112	85	0	4154333001
96	4154	49	108	88	0	4154952001
97	4155	15	114	83	0	4155057000
98	4155	26	109	85	1	4155189000
99	4155	30	113	85	0	4155607000
100	4155	43	110	87	0	4155358000
101	4156	3	110	82	1	4156777001
102	4156	20	111	84	0	4156417001
103	4156	23	114	84	1	4156403001
104	4156	36	111	86	0	4156661000
105	4156	42	109	87	0	4156549001
106	4156	50	109	88	0	4156923000
107	4157	19	110	84	1	4157755001
108	4157	22	113	84	0	4157759000
109	4157	28	111	85	0	4157102001
110	4157	29	112	85	0	4157439000
111	4157	31	114	85	0	4157826000
112	4157	35	110	86	0	4157355000
113	4157	37	112	86	0	4157252000
114	4158	4	111	82	1	4158465000
115	4158	11	110	83	1	4158252001
116	4158	14	113	83	0	4158000001
117	4158	15	114	83	0	4158233000
118	4158	21	112	84	0	4158439001
119	4158	30	113	85	0	4158601001
120	4158	43	110	87	0	4158973000
121	4158	44	111	87	0	4158405001
122	4159	34	109	86	1	4159004000
123	4159	36	111	86	0	4159752001
124	4159	38	113	86	0	4159407001
125	4159	51	110	88	0	4159808001
126	4160	6	113	82	0	4160693001
127	4160	19	110	84	1	4160939000
128	4160	23	114	84	0	4160474001
129	4160	31	114	85	0	4160617001
130	4160	37	112	86	0	4160609001
131	4160	50	109	88	0	4160133001
132	4160	57	108	89	0	4160706001
133	4161	12	111	83	1	4161070000
134	4161	27	110	85	1	4161843001
135	4161	44	111	87	0	4161957001
136	4161	45	112	87	0	4161466001
137	4161	58	109	89	0	4161522001
138	4162	4	111	82	1	4162167000
139	4162	22	113	84	0	4162968000
140	4162	29	112	85	0	4162116001
141	4162	38	113	86	0	4162128000
142	4162	39	114	86	0	4162622000
143	4162	52	111	88	0	4162382001
144	4163	10	109	83	1	4163476000
145	4163	30	113	85	0	4163077001
146	4163	42	109	87	1	4163829000
147	4163	46	113	87	0	4163482001
148	4163	51	110	88	0	4163033000
149	4164	31	114	85	0	4164554000
150	4164	37	112	86	0	4164518001
151	4164	45	112	87	0	4164052001
152	4164	52	111	88	0	4164646001
153	4164	59	110	89	0	4164135001
154	4165	5	112	82	1	4165872000
155	4165	23	114	84	0	4165488000
156	4165	27	110	85	1	4165244001
157	4165	35	110	86	1	4165312000
158	4165	36	111	86	0	4165600001
159	4165	38	113	86	0	4165920000
160	4165	39	114	86	0	4165591000
161	4165	44	111	87	0	4165574000
162	4165	53	112	88	0	4165087000
163	4166	12	111	83	1	4166224000
164	4166	20	111	84	1	4166889001
165	4166	26	109	85	1	4166027000
166	4166	33	108	86	1	4166090001
167	4166	46	113	87	0	4166169000
168	4166	47	114	87	0	4166992001
169	4166	50	109	88	1	4166944001
170	4166	52	111	88	0	4166875001
171	4166	58	109	89	0	4166660000
172	4166	59	110	89	0	4166554001
173	4167	45	112	87	0	4167139000
174	4167	53	112	88	0	4167268000
175	4167	60	111	89	0	4167079001
176	4168	4	111	82	1	4168678000
177	4168	18	109	84	1	4168331001
