case_id	case_kind	case_name	pose_version	pose_name	local_x	local_y	a_q14	b_q14	c_q14	d_q14	tx_q14	ty_q14	pose_found	x_acc_q14	y_acc_q14	ref_x	ref_y	in_range	write_valid
0	directed	identity_origin	0	identity	0	0	16384	0	0	16384	0	0	1	0	0	0	0	1	1
1	directed	quarter_turn_corner	1	quarter_turn_tile	3	0	0	-16384	16384	0	49152	0	1	49152	49152	3	3	1	1
2	directed	half_turn_corner	2	half_turn_tile	0	0	-16384	0	0	-16384	49152	49152	1	49152	49152	3	3	1	1
3	directed	positive_boundary_low	3	translate_positive_edge	2	3	16384	0	0	16384	81920	49152	1	114688	98304	7	6	1	1
4	directed	positive_boundary_high	3	translate_positive_edge	3	3	16384	0	0	16384	81920	49152	1	131072	98304	8	6	0	0
5	directed	negative_boundary_high	4	translate_negative_edge	2	1	16384	0	0	16384	-32768	-16384	1	0	0	0	0	1	1
6	directed	negative_boundary_low	4	translate_negative_edge	1	0	16384	0	0	16384	-32768	-16384	1	-16384	-16384	-1	-1	0	0
7	directed	positive_and_negative_half_ties	5	half_tie_translation	0	0	16384	0	0	16384	8192	-8192	1	8192	-8192	1	-1	0	0
8	directed	quantized_rotation	6	quantized_45deg_translate	3	3	11585	-11585	11585	11585	49152	16384	1	49152	85894	3	5	1	1
9	directed	unknown_pose	255	unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	exhaustive	identity_x0_y0	0	identity	0	0	16384	0	0	16384	0	0	1	0	0	0	0	1	1
11	exhaustive	identity_x1_y0	0	identity	1	0	16384	0	0	16384	0	0	1	16384	0	1	0	1	1
12	exhaustive	identity_x2_y0	0	identity	2	0	16384	0	0	16384	0	0	1	32768	0	2	0	1	1
13	exhaustive	identity_x3_y0	0	identity	3	0	16384	0	0	16384	0	0	1	49152	0	3	0	1	1
14	exhaustive	identity_x0_y1	0	identity	0	1	16384	0	0	16384	0	0	1	0	16384	0	1	1	1
15	exhaustive	identity_x1_y1	0	identity	1	1	16384	0	0	16384	0	0	1	16384	16384	1	1	1	1
16	exhaustive	identity_x2_y1	0	identity	2	1	16384	0	0	16384	0	0	1	32768	16384	2	1	1	1
17	exhaustive	identity_x3_y1	0	identity	3	1	16384	0	0	16384	0	0	1	49152	16384	3	1	1	1
18	exhaustive	identity_x0_y2	0	identity	0	2	16384	0	0	16384	0	0	1	0	32768	0	2	1	1
19	exhaustive	identity_x1_y2	0	identity	1	2	16384	0	0	16384	0	0	1	16384	32768	1	2	1	1
20	exhaustive	identity_x2_y2	0	identity	2	2	16384	0	0	16384	0	0	1	32768	32768	2	2	1	1
21	exhaustive	identity_x3_y2	0	identity	3	2	16384	0	0	16384	0	0	1	49152	32768	3	2	1	1
22	exhaustive	identity_x0_y3	0	identity	0	3	16384	0	0	16384	0	0	1	0	49152	0	3	1	1
23	exhaustive	identity_x1_y3	0	identity	1	3	16384	0	0	16384	0	0	1	16384	49152	1	3	1	1
24	exhaustive	identity_x2_y3	0	identity	2	3	16384	0	0	16384	0	0	1	32768	49152	2	3	1	1
25	exhaustive	identity_x3_y3	0	identity	3	3	16384	0	0	16384	0	0	1	49152	49152	3	3	1	1
26	exhaustive	quarter_turn_tile_x0_y0	1	quarter_turn_tile	0	0	0	-16384	16384	0	49152	0	1	49152	0	3	0	1	1
27	exhaustive	quarter_turn_tile_x1_y0	1	quarter_turn_tile	1	0	0	-16384	16384	0	49152	0	1	49152	16384	3	1	1	1
